Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
Doma,TENSTAR,0.6838709677419356,24,468,0.6666666666666669,0.6666666666666665,0.738730450781969,0.6166666666666668,0.41666666666666663,0.23809523809523814,0.36,0.5263157894736842,0.3404255319148936,22,358,323,129,32,43,0.656033539919796
Ambi,Case Esports,0.6838709677419356,22,471,0.6979166666666666,0.7000000000000002,0.7194112235510579,0.6666666666666669,0.2291666666666666,0.8095238095238095,0.6,0.5,0.2765957446808511,24,372,325,91,90,72,0.5725239230838893
Kicks,London Esports,0.6774193548387096,15,301,0.5520833333333334,0.5,0.7056117755289788,0.6666666666666669,0.5416666666666666,0.3333333333333333,0.44,0.4473684210526315,0.14893617021276595,24,238,237,101,27,32,0.7802427925871108
UNFAKE,Team Queso,0.6709677419354839,12,238,0.6041666666666669,0.7666666666666666,0.7424103035878564,0.6166666666666668,0.5,0.3333333333333333,0.2,0.5789473684210528,0.04255319148936171,25,180,171,76,22,12,0.7068381855111713
bipo,Dsyre,0.664516129032258,14,311,0.6666666666666669,0.4666666666666668,0.6421343146274152,0.6833333333333335,0.08333333333333329,0.8571428571428572,0.76,0.5789473684210528,0.3191489361702128,26,248,224,36,62,60,0.47125158104874953
YaBoiLewis,FOKUS,0.664516129032258,22,463,0.5833333333333334,0.5666666666666664,0.7056117755289788,0.6333333333333334,0.29166666666666663,0.6666666666666666,0.6,0.8157894736842105,0.21276595744680848,24,357,347,103,73,68,0.5877596143019458
Killu,Valar Morghulis,0.664516129032258,14,314,0.7604166666666665,0.5,0.7019319227230914,0.7000000000000001,0.10416666666666666,0.5238095238095238,0.48,0.6052631578947368,0.25531914893617025,27,254,212,42,42,37,0.514021794910496
Davud,who cars?,0.664516129032258,16,344,0.5104166666666666,0.4333333333333331,0.7074517019319229,0.6166666666666668,0.2291666666666666,0.7142857142857143,0.76,0.4473684210526315,0.021276595744680854,31,262,274,64,57,67,0.5212719056541387
musashi,Rebels Gaming,0.664516129032258,22,454,0.6145833333333334,0.6666666666666665,0.6789328426862928,0.6333333333333334,0.5208333333333333,0.5714285714285715,0.6,0.6052631578947368,0.04255319148936171,28,350,330,151,62,67,0.7472910620706935
murii,Wave Esports,0.6580645161290323,20,424,0.7083333333333334,0.7000000000000002,0.6540938362465503,0.6833333333333335,0.375,0.5238095238095238,0.48,0.6578947368421052,0.38297872340425526,26,338,295,112,57,51,0.6860860234284182
BaWaN,beGenius ESC,0.6580645161290323,18,383,0.6458333333333334,0.6333333333333333,0.6632934682612697,0.65,0.24999999999999997,0.380952380952381,0.32,0.4473684210526315,0.3404255319148936,38,297,273,78,40,31,0.5668642421392599
Fearoth,Alliance,0.6580645161290323,23,483,0.78125,0.7999999999999998,0.7442502299908005,0.5666666666666668,0.5624999999999999,0.19047619047619047,0.16,0.368421052631579,0.23404255319148942,23,355,292,169,30,18,0.7202613994289245
LaAw,OG,0.6516129032258066,18,394,0.7083333333333334,0.7666666666666666,0.6780128794848206,0.65,0.5,0.2857142857142857,0.16,0.5789473684210528,0.38297872340425526,29,309,268,128,30,17,0.7554309909303055
Elite,Fenerbah̤e Esports,0.6516129032258066,16,350,0.5937500000000001,0.4666666666666668,0.6991720331186755,0.6666666666666669,0.2291666666666666,0.380952380952381,0.32,1.0,0.2765957446808511,28,277,266,68,36,27,0.5764387271496277
DubzWoW,Thunderbolts Gaming,0.6516129032258066,17,346,0.5208333333333334,0.5333333333333332,0.6798528058877646,0.5833333333333334,0.375,0.7142857142857143,0.6,0.21052631578947376,0.2631366860090264,29,257,264,90,60,53,0.6013478344245679
blitzeN,CGN Esports,0.6451612903225806,14,275,0.7083333333333334,0.5,0.692732290708372,0.6666666666666669,0.33333333333333326,0.2857142857142857,0.44,0.763157894736842,0.23404255319148942,32,218,190,66,21,31,0.6446186988367083
aeiden,KTRL (ex),0.6451612903225806,11,226,0.5937500000000001,0.5333333333333332,0.6973321067157316,0.65,0.3125,0.3333333333333333,0.2,0.9210526315789472,0.25531914893617025,22,176,170,51,21,12,0.6035733758335778
Saiko,AWARIA,0.6451612903225806,28,588,0.5208333333333334,0.5666666666666664,0.6669733210671573,0.5833333333333334,0.27083333333333326,0.6666666666666666,0.6,0.42105263157894746,0.17021276595744683,25,438,450,121,96,89,0.5256311055227779
ponkt,Team Finest,0.6451612903225806,19,411,0.6979166666666666,0.5999999999999996,0.7451701931922725,0.6666666666666669,0.1458333333333333,0.4285714285714286,0.32,0.6578947368421052,0.21276595744680848,33,326,285,62,47,33,0.5159995848756357
STERBEN,Fire Flux Esports,0.6451612903225806,23,478,0.7604166666666665,0.7000000000000002,0.6734130634774609,0.6833333333333335,0.5624999999999999,0.2857142857142857,0.32,0.7105263157894737,0.38297872340425526,26,383,320,167,39,40,0.8156021336929148
Touven,Galatasaray Esports,0.6451612903225806,18,412,0.5833333333333334,0.5333333333333332,0.750689972401104,0.6,0.41666666666666663,0.3333333333333333,0.36,0.5,0.21276595744680848,29,311,301,116,36,37,0.6499562876731241
al0rante,MOUZ,0.6387096774193549,19,417,0.5104166666666666,0.4333333333333331,0.6274149034038639,0.6333333333333334,0.3125,0.5714285714285715,0.56,0.9736842105263158,0.553191489361702,24,320,332,96,58,58,0.5936786116130793
DisisJohn,Ovation eSports,0.6387096774193549,14,290,0.6041666666666669,0.3333333333333335,0.5988960441582338,0.6333333333333334,0.12499999999999997,0.5238095238095238,0.48,0.2894736842105263,0.38297872340425526,30,224,214,40,38,36,0.46713515280274553
LeeeeeeN,OG,0.6387096774193549,18,394,0.5520833333333334,0.5999999999999996,0.626494940202392,0.6333333333333334,0.1458333333333333,0.9047619047619048,0.68,0.5,0.3617021276595745,30,302,301,58,83,68,0.47200904563716406
Ridder,beGenius ESC,0.6387096774193549,18,383,0.5104166666666666,0.6333333333333333,0.6375344986200555,0.6333333333333334,0.1458333333333333,0.8571428571428572,0.68,0.4736842105263157,0.12765957446808512,31,296,309,58,78,67,0.48734733273111985
AtaKaptan,Thunderbolts Gaming,0.6387096774193549,23,481,0.6458333333333334,0.6666666666666665,0.6476540938362467,0.6,0.8541666666666666,0.3333333333333333,0.4,0.5263157894736842,0.38297872340425526,26,361,330,235,42,50,0.9438866500477877
dimasick,Team Finest,0.632258064516129,8,159,0.6562500000000001,0.5999999999999996,0.7654093836246552,0.5833333333333334,0.3125,0.2857142857142857,0.28,0.6842105263157895,0.14893617021276595,19,118,107,37,13,11,0.5606724492533309
luckeRRR,Alliance,0.632258064516129,23,483,0.6874999999999999,0.5,0.6513339466421346,0.6166666666666668,0.18749999999999997,0.8095238095238095,0.6,0.4736842105263157,0.14893617021276595,30,369,328,80,92,73,0.49506932383503577
sh̩d,KOVA Esports,0.632258064516129,16,343,0.5520833333333334,0.5333333333333332,0.6310947562097518,0.65,0.16666666666666666,0.7142857142857143,0.56,0.4473684210526315,0.10638297872340426,27,266,266,55,58,49,0.504138283614055
maniek,Anonymo Esports,0.6258064516129033,28,595,0.5312500000000001,0.733333333333333,0.6816927322907085,0.5833333333333334,0.5,0.380952380952381,0.56,0.5,0.25531914893617025,23,442,452,188,62,81,0.6824644549763034
Moe40,EXCEL,0.6258064516129033,29,591,0.7604166666666665,0.8333333333333335,0.721251149954002,0.6333333333333334,0.47916666666666663,0.380952380952381,0.24,0.763157894736842,0.3191489361702128,25,455,378,184,58,34,0.7149421416027139
Wolfen,Case Esports,0.6258064516129033,22,471,0.6041666666666669,0.7999999999999998,0.7083716651333949,0.5666666666666668,0.5208333333333333,0.380952380952381,0.36,0.736842105263158,0.425531914893617,23,346,330,154,45,41,0.686449120053129
MAGiK,Dsyre,0.6193548387096773,14,311,0.6666666666666669,0.5999999999999996,0.6807727690892365,0.6666666666666669,0.39583333333333337,0.19047619047619047,0.32,0.7105263157894737,0.21276595744680848,31,246,221,85,18,25,0.6904192255527958
Shazeon,CGN Esports,0.6193548387096773,8,157,0.5520833333333334,0.6333333333333333,0.6798528058877646,0.4999999999999999,0.5624999999999999,0.2857142857142857,0.16,0.5,0.29787234042553196,29,108,108,55,12,6,0.6525794669001118
Mickebwoy,Team BDS,0.6193548387096773,23,515,0.7395833333333334,0.7999999999999998,0.6678932842686294,0.6,0.5416666666666666,0.14285714285714288,0.16,0.4736842105263157,0.29787234042553196,28,387,328,174,28,22,0.7266921271798649
Burzzy,Fenerbah̤e Esports,0.6193548387096773,16,350,0.46875000000000006,0.5333333333333332,0.68721251149954,0.5833333333333334,0.375,0.380952380952381,0.44,0.8684210526315791,0.10638297872340426,25,259,282,92,35,40,0.601299932295193
Froz,Galatasaray Esports,0.6193548387096773,18,412,0.5312500000000001,0.5666666666666664,0.6614535418583258,0.6,0.27083333333333326,0.4285714285714286,0.4,0.5263157894736842,0.2765957446808511,28,307,314,88,46,42,0.5373165232595593
krea6on,Tundra Esports,0.6129032258064516,25,533,0.6250000000000001,0.5,0.6310947562097518,0.6166666666666668,0.3125,0.3333333333333333,0.48,0.4736842105263157,0.25531914893617025,30,405,380,124,47,62,0.5862728186159004
vong,FOKUS,0.6064516129032259,22,463,0.6562500000000001,0.6666666666666665,0.6614535418583258,0.6166666666666668,0.41666666666666663,0.380952380952381,0.28,0.7105263157894737,0.574468085106383,23,354,323,131,46,32,0.6660661459879419
grubinho,AWARIA,0.6064516129032259,28,588,0.7604166666666665,0.7000000000000002,0.6485740570377185,0.6333333333333334,0.41666666666666663,0.380952380952381,0.32,0.631578947368421,0.44680851063829785,33,450,375,162,59,45,0.6563497436889448
uNKOE,OG,0.6064516129032259,18,394,0.6979166666666666,0.733333333333333,0.6485740570377185,0.6166666666666668,0.35416666666666663,0.47619047619047616,0.36,0.42105263157894746,0.3404255319148936,31,300,264,99,49,36,0.6155604205258981
Dev0,London Esports,0.6064516129032259,14,284,0.43749999999999994,0.2333333333333334,0.660533578656854,0.5666666666666668,0.16666666666666666,0.7142857142857143,0.72,0.4736842105263157,0.10638297872340426,25,208,234,45,48,51,0.4388558841198852
KPZET,Movistar Riders,0.6064516129032259,12,247,0.6458333333333334,0.5999999999999996,0.6513339466421346,0.6166666666666668,0.29166666666666663,0.5238095238095238,0.44,0.8947368421052632,0.29787234042553196,21,188,172,54,32,27,0.5677993744843334
PoPiFresH,Team Heretics,0.6064516129032259,11,246,0.5625000000000001,0.5,0.6108555657773691,0.5666666666666668,0.10416666666666666,0.5714285714285715,0.52,0.4736842105263157,0.2631366860090264,21,179,177,33,34,32,0.3967171425268755
bacyx,Thunderbolts Gaming,0.6064516129032259,6,135,0.5104166666666666,0.4333333333333331,0.5722171113155474,0.5666666666666668,0.16666666666666666,0.8571428571428572,0.72,0.4473684210526315,0.2631366860090264,22,98,102,22,27,24,0.4360189573459715
kamyk,Anonymo Esports,0.6,28,595,0.7187499999999999,0.6666666666666665,0.65869365225391,0.6333333333333334,0.45833333333333326,0.19047619047619047,0.24,0.631578947368421,0.3191489361702128,25,459,397,179,35,38,0.7019634394041977
BENZKI,Anorthosis Famagusta Esports,0.6,17,349,0.5520833333333334,0.5999999999999996,0.6338546458141676,0.6,0.5208333333333333,0.4285714285714286,0.48,0.4736842105263157,0.12765957446808512,26,262,263,116,39,42,0.7176631947745084
SHIN,Sector One France,0.6,23,521,0.7083333333333334,0.8333333333333335,0.6375344986200555,0.6333333333333334,0.5208333333333333,0.2857142857142857,0.28,0.9210526315789472,0.46808510638297873,27,400,349,173,44,38,0.7419017383631553
hoppY,Mandatory,0.6,14,312,0.5625000000000001,0.4333333333333331,0.6310947562097518,0.6333333333333334,0.29166666666666663,0.3333333333333333,0.44,0.5789473684210528,0.2765957446808511,24,239,236,69,28,35,0.5785636164783085
paTiTek,EXCEL,0.6,29,591,0.5833333333333334,0.733333333333333,0.6402943882244712,0.5833333333333334,0.5208333333333333,0.5714285714285715,0.4,0.4473684210526315,0.21276595744680848,26,438,424,193,82,60,0.6953111843529726
Fizzy,Team BDS,0.5935483870967743,23,515,0.6250000000000001,0.733333333333333,0.6025758969641215,0.6,0.6041666666666666,0.380952380952381,0.36,0.39473684210526316,0.3404255319148936,25,384,359,191,50,45,0.7661160447246124
mizuN,Team Finest,0.5870967741935483,19,411,0.6458333333333334,0.7000000000000002,0.6237350505979764,0.5833333333333334,0.45833333333333326,0.4285714285714286,0.4,0.7894736842105262,0.2765957446808511,26,305,280,123,45,41,0.6571418687515137
bramz,Team Vitality,0.5870967741935483,14,297,0.6562500000000001,0.733333333333333,0.6071757129714812,0.6166666666666668,0.24999999999999997,0.380952380952381,0.24,0.5789473684210528,0.21276595744680848,29,227,206,60,29,17,0.5483268706017522
chiwawa,EXCEL,0.5870967741935483,29,591,0.6250000000000001,0.5999999999999996,0.6384544618215273,0.5833333333333334,0.33333333333333326,0.3333333333333333,0.28,0.6578947368421052,0.25531914893617025,29,440,410,139,52,44,0.5677099622296534
nataNk,Anorthosis Famagusta Esports,0.5806451612903226,17,349,0.6041666666666669,0.5333333333333332,0.6356945722171115,0.5666666666666668,0.41666666666666663,0.4285714285714286,0.44,0.39473684210526316,0.23404255319148942,29,254,241,96,37,40,0.6013118048859979
bzt,Gamerland Outlaws,0.5806451612903226,15,340,0.5312500000000001,0.6333333333333333,0.6678932842686294,0.5166666666666667,0.6874999999999999,0.380952380952381,0.4,0.4473684210526315,0.25531914893617025,30,238,242,141,34,33,0.7635071090047395
Supmah,KOVA Esports,0.5806451612903226,16,343,0.6562500000000001,0.6666666666666665,0.5952161913523459,0.5833333333333334,0.4374999999999999,0.4285714285714286,0.4,0.4736842105263157,0.3617021276595745,23,254,230,99,38,34,0.6394373592361794
RobbieBk,London Esports,0.5806451612903226,15,301,0.6041666666666669,0.6666666666666665,0.6513339466421346,0.5499999999999999,0.47916666666666663,0.2857142857142857,0.16,0.7105263157894737,0.3617021276595745,22,216,206,92,24,13,0.6308828391932108
falltw,Case Esports,0.5806451612903226,22,471,0.6979166666666666,0.6666666666666665,0.626494940202392,0.6166666666666668,0.39583333333333337,0.3333333333333333,0.24,0.5789473684210528,0.23404255319148942,27,356,312,127,43,28,0.6341051106348295
TheCady,Team Lixa,0.5806451612903226,21,446,0.46875000000000006,0.4333333333333331,0.6126954921803129,0.5833333333333334,0.08333333333333329,0.7142857142857143,0.64,0.631578947368421,0.14893617021276595,26,329,357,55,76,70,0.395553949801288
Freyy,NOM eSports,0.5741935483870967,23,501,0.6874999999999999,0.5999999999999996,0.6108555657773691,0.6166666666666668,0.45833333333333326,0.23809523809523814,0.4,0.6052631578947368,0.2765957446808511,31,383,340,151,36,48,0.6926809887334336
vicious,KOVA Esports,0.5741935483870967,16,343,0.6145833333333334,0.7000000000000002,0.6007359705611777,0.5333333333333333,0.4374999999999999,0.19047619047619047,0.24,0.42105263157894746,0.3191489361702128,28,245,231,99,22,21,0.601384494217457
tsack,Team Queso,0.5741935483870967,12,238,0.6979166666666666,0.7666666666666666,0.5915363385464583,0.6,0.41666666666666663,0.2857142857142857,0.28,0.6842105263157895,0.3191489361702128,21,179,157,67,18,17,0.6459038591740015
qRaxs,Futbolist,0.5741935483870967,19,395,0.6874999999999999,0.6666666666666665,0.6154553817847288,0.6,0.4374999999999999,0.2857142857142857,0.2,0.6842105263157895,0.25531914893617025,30,297,263,113,33,20,0.6522286879836824
Docent,Galatasaray Esports,0.5741935483870967,18,412,0.5208333333333334,0.5,0.6347746090156394,0.5333333333333333,0.41666666666666663,0.23809523809523814,0.4,0.5263157894736842,0.10638297872340426,26,293,303,114,27,41,0.5795564349146459
Hyperzxz,H2O,0.567741935483871,7,135,0.3958333333333333,0.3666666666666667,0.6577736890524379,0.4833333333333335,0.24999999999999997,0.6190476190476191,0.52,0.4736842105263157,0.17021276595744683,24,92,108,27,20,18,0.42527646129541863
MrFaliN,Futbolist,0.567741935483871,19,395,0.5625000000000001,0.733333333333333,0.5906163753449862,0.4999999999999999,0.5,0.380952380952381,0.36,0.4473684210526315,0.06382978723404255,24,272,269,128,39,34,0.6155138280640712
APO,Mandatory,0.5612903225806453,14,312,0.5937500000000001,0.5333333333333332,0.6163753449862006,0.5833333333333334,0.29166666666666663,0.380952380952381,0.32,0.6842105263157895,0.10638297872340426,25,230,222,70,31,25,0.5413780532263947
Leare,Team Queso,0.5612903225806453,12,238,0.5312500000000001,0.2666666666666666,0.5685372585096597,0.5833333333333334,0.06249999999999997,0.7619047619047619,0.84,0.5789473684210528,0.19148936170212766,20,175,178,27,43,49,0.3777928232904536
gloomy,Fenerbah̤e Esports,0.5612903225806453,4,90,0.3854166666666666,0.2999999999999998,0.6310947562097518,0.4833333333333335,0.08333333333333329,0.5714285714285715,0.88,0.5789473684210528,0.10638297872340426,23,61,73,11,13,20,0.30710900473933644
lauress,Fire Flux Esports,0.5612903225806453,22,460,0.8020833333333333,0.8666666666666667,0.6292548298068079,0.6166666666666668,0.41666666666666663,0.2857142857142857,0.32,0.6842105263157895,0.3191489361702128,33,348,281,131,37,35,0.65705749021224
sturNNcya,Galakticos,0.5612903225806453,18,390,0.5729166666666666,0.5,0.6182152713891444,0.5666666666666668,0.16666666666666666,0.2857142857142857,0.32,0.5263157894736842,0.19148936170212766,32,286,280,61,33,33,0.4372584761210353
TheNightChe,Team Lixa,0.5612903225806453,21,446,0.4895833333333332,0.4333333333333331,0.609015639374425,0.5666666666666668,0.3125,0.3333333333333333,0.4,0.7105263157894737,0.21276595744680848,25,325,345,104,40,46,0.5418783074405459
DarkLight,beGenius ESC,0.5548387096774193,18,383,0.6562500000000001,0.7000000000000002,0.6209751609935603,0.5833333333333334,0.5,0.19047619047619047,0.28,0.5263157894736842,0.21276595744680848,28,285,258,121,24,25,0.6842463465036567
XMS,TENSTAR,0.5483870967741936,24,468,0.7291666666666666,0.733333333333333,0.6421343146274152,0.6,0.33333333333333326,0.23809523809523814,0.2,0.631578947368421,0.29787234042553196,24,351,300,114,34,22,0.5878600072912871
mcnuggets,Movistar Riders,0.5483870967741936,12,247,0.5104166666666666,0.5999999999999996,0.5896964121435144,0.5166666666666667,0.45833333333333326,0.47619047619047616,0.44,0.39473684210526316,0.25531914893617025,24,173,180,73,30,28,0.591284993380279
