Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
Leare,Team Queso,0.5612903225806453,12,238,0.5312500000000001,0.002666666666666666,0.5685372585096597,0.5833333333333334,0.0624999999999999,0.7619047619047619,0.84,0.0057894736842105275,0.001914893617021276,20,175,178,27,43,49,0.8487394957983193
gloomy,Fenerbah̤e Esports,0.5612903225806453,4,90,0.3854166666666666,0.0029999999999999983,0.6310947562097518,0.4833333333333335,0.0833333333333332,0.5714285714285715,0.88,0.0057894736842105275,0.001063829787234042,23,61,73,11,13,20,0.8
lauress,Fire Flux Esports,0.5612903225806453,22,460,0.8020833333333333,0.008666666666666666,0.6292548298068079,0.6166666666666668,0.4166666666666666,0.2857142857142857,0.32,0.006842105263157895,0.003191489361702128,33,348,281,131,37,35,1.041304347826087
sturNNcya,Galakticos,0.5612903225806453,18,390,0.5729166666666666,0.005,0.6182152713891444,0.5666666666666668,0.1666666666666666,0.2857142857142857,0.32,0.005263157894736842,0.001914893617021276,32,286,280,61,33,33,0.8897435897435897
TheNightChe,Team Lixa,0.5612903225806453,21,446,0.4895833333333332,0.004333333333333331,0.609015639374425,0.5666666666666668,0.3125,0.3333333333333333,0.4,0.007105263157894737,0.002127659574468084,25,325,345,104,40,46,0.9618834080717489
DarkLight,beGenius ESC,0.5548387096774193,18,383,0.6562500000000001,0.007000000000000002,0.6209751609935603,0.5833333333333334,0.5,0.1904761904761904,0.28,0.005263157894736842,0.002127659574468084,28,285,258,121,24,25,1.0600522193211488
XMS,TENSTAR,0.5483870967741936,24,468,0.7291666666666666,0.00733333333333333,0.6421343146274152,0.6,0.3333333333333332,0.2380952380952381,0.2,0.00631578947368421,0.002978723404255319,24,351,300,114,34,22,0.9935897435897436
mcnuggets,Movistar Riders,0.5483870967741936,12,247,0.5104166666666666,0.005999999999999997,0.5896964121435144,0.5166666666666667,0.4583333333333332,0.4761904761904761,0.44,0.003947368421052631,0.002553191489361702,24,173,180,73,30,28,0.9959514170040485
Yurii,Case Esports,0.5483870967741936,22,471,0.6250000000000001,0.007000000000000002,0.5878564857405706,0.5833333333333334,0.3541666666666666,0.380952380952381,0.32,0.004210526315789474,0.001914893617021276,22,349,326,119,45,39,0.9936305732484076
BennY,CGN Esports,0.5419354838709677,14,275,0.4062499999999999,0.004333333333333331,0.5896964121435144,0.4833333333333335,0.4166666666666666,0.4761904761904761,0.76,0.005,0.0006382978723404251,20,186,216,77,32,52,0.9563636363636364
ceNder,Team Vitality,0.5419354838709677,14,297,0.6354166666666669,0.006666666666666665,0.6099356025758973,0.5166666666666667,0.5208333333333333,0.380952380952381,0.44,0.006842105263157895,0.005106382978723405,24,207,191,97,31,33,1.0235690235690236
Eso177,UCAM Tokiers,0.5419354838709677,14,308,0.5312500000000001,0.003999999999999999,0.6117755289788409,0.5166666666666667,0.3125,0.3333333333333333,0.24,0.005526315789473685,0.003404255319148936,21,216,220,72,28,19,0.935064935064935
Leosen,Ovation eSports,0.535483870967742,14,290,0.4166666666666667,0.004333333333333331,0.596136154553818,0.4833333333333335,0.3333333333333332,0.4761904761904761,0.52,0.005526315789473685,0.001276595744680851,34,196,226,70,35,39,0.9172413793103448
hatex,Galakticos,0.535483870967742,18,390,0.5625000000000001,0.006333333333333333,0.6218951241950323,0.5666666666666668,0.3333333333333332,0.2380952380952381,0.24,0.005263157894736842,0.001063829787234042,26,283,280,95,28,25,0.9692307692307692
RieNs,Surreal Esports,0.535483870967742,23,507,0.6145833333333334,0.007000000000000002,0.6080956761729532,0.5333333333333333,0.4374999999999999,0.3333333333333333,0.32,0.006842105263157895,0.0027659574468085106,24,359,340,148,47,43,1.0
denzo,SPARX ESPORTS,0.529032258064516,14,286,0.3958333333333333,0.00133333333333333,0.5427782888684454,0.4999999999999999,0.0833333333333332,0.6190476190476191,0.88,0.005526315789473685,0.003404255319148936,26,197,233,35,43,64,0.8111888111888111
JESMUND,KOVA Esports,0.529032258064516,16,343,0.5937500000000001,0.005333333333333332,0.6310947562097518,0.5333333333333333,0.3125,0.1904761904761904,0.4,0.0060526315789473685,0.002127659574468084,22,242,233,80,21,33,0.9387755102040817
Bia,Team Lixa,0.529032258064516,21,446,0.5312500000000001,0.005333333333333332,0.5584176632934683,0.5499999999999999,0.1041666666666666,0.4761904761904761,0.28,0.0057894736842105275,0.002553191489361702,26,323,331,60,53,32,0.8587443946188341
roxie,Wave Esports,0.5225806451612903,20,424,0.5937500000000001,0.005999999999999997,0.5860165593376265,0.5333333333333333,0.375,0.2857142857142857,0.4,0.008157894736842105,0.00425531914893617,23,301,290,109,32,42,0.9669811320754716
Dext,Arctic Gaming,0.5225806451612903,12,275,0.5104166666666666,0.004666666666666668,0.5538178472861086,0.5333333333333333,0.2708333333333332,0.2857142857142857,0.36,0.006578947368421052,0.004042553191489362,20,194,203,58,23,24,0.9163636363636364
loWel,Team Heretics,0.5225806451612903,11,246,0.875,0.008333333333333335,0.5519779208831648,0.6,0.3125,0.2380952380952381,0.16,0.0057894736842105275,0.002340425531914894,23,184,140,56,16,11,0.975609756097561
hastack,BISONS ECLUB,0.5225806451612903,11,232,0.5416666666666666,0.004333333333333331,0.5942962281508741,0.5166666666666667,0.2083333333333333,0.3333333333333333,0.36,0.003947368421052631,0.004042553191489362,27,162,163,41,22,22,0.875
MOJJ,Futbolist,0.5225806451612903,19,395,0.6250000000000001,0.007000000000000002,0.6117755289788409,0.5333333333333333,0.3541666666666666,0.2857142857142857,0.32,0.0060526315789473685,0.002340425531914894,21,280,262,100,33,33,0.9620253164556962
bucher,FOKUS,0.5161290322580646,22,463,0.7499999999999998,0.005999999999999997,0.5565777368905245,0.6,0.1666666666666666,0.2380952380952381,0.16,0.007631578947368421,0.003404255319148936,27,346,290,74,31,20,0.9071274298056156
SH0UTy,Entropiq,0.5161290322580646,17,386,0.5729166666666666,0.006666666666666665,0.5712971481140754,0.5333333333333333,0.5,0.2857142857142857,0.32,0.004736842105263157,0.002978723404255319,26,275,269,125,31,31,1.0362694300518134
